ID	Наименованиепродукции	Типпродукции	Артикул	Descrt	Изображение	Количествочеловекдляпроизводства	Номерадляпроизводства	Минимальнаястоимостьдляагента					
3	Диск R16 Кованый	10	327883		\products\tire_10.jpg	2	2	12332					
4	Диск R16 Лето	10	388520		\products\tire_19.jpg	3	2	7498					
8	Диск R16 Липучка	10	348553			2	2	3508					
9	Диск R17 Лето	10	435703			5	2	9934					
10	Диск R17 Липучка	10	400508		\products\tire_24.jpg	1	4	12941					
14	Диск R18 Зима	10	282569		\products\tire_42.jpg	5	5	12356					
15	Диск R18 Лето	10	279256		\products\tire_53.jpg	4	5	9759					
16	Диск R19 Лето	10	312952			2	5	4039					
18	Диск R19 Липучка	10	255211		\products\tire_21.jpg	1	6	13239					
19	Диск R20 Лето	10	318661			1	6	5544					
20	Диск R21 Зима	10	365509			5	6	14556					
21	Диск R22 Зима	10	319450			3	6	4951					
22	Диск R22 Кованый	10	437927			3	6	7181					
25	ЗапаскаR14 Зима	11	434626		\products\tire_31.jpg	5	8	11959					
26	ЗапаскаR15 Зима	11	327657		\products\tire_64.jpg	2	8	8667					
27	ЗапаскаR15 Кованый	11	280863			4	8	11695					
28	ЗапаскаR16 Зима	11	243152		\products\tire_0.jpg	1	9	6264					
29	ЗапаскаR17 Кованый	11	440075		\products\tire_25.jpg	3	9	9068					
32	ЗапаскаR17 Липучка	11	445217		\products\tire_1.jpg	3	10	9569					
33	ЗапаскаR18 Липучка	11	298778		\products\tire_38.jpg	1	10	7493					
34	ЗапаскаR19 Кованый	11	275809		\products\tire_40.jpg	4	10	3258					
35	ЗапаскаR19 Лето	11	251201			3	10	8149					
36	ЗапаскаR20 Кованый	11	266521		\products\tire_6.jpg	4	1	10561					
38	ЗапаскаR20 Липучка	11	394413		\products\tire_49.jpg	3	10	12679					
40	ЗапаскаR21 Зима	11	300047		\products\tire_56.jpg	3	10	10323					
41	ЗапаскаR22 Зима	11	427198			4	10	2397					
43	Колесо R14 Кованый	11	440993			5	2	6020					
44	Колесо R15 Кованый	11	382661			1	2	10373					
45	Колесо R16 Липучка	11	281537			1	2	4365					
46	Колесо R17 Липучка	11	335226			1	2	9988					
48	Колесо R18 Зима	11	300433			4	2	2570					
49	Колесо R18 Кованый	11	372287		\products\tire_57.jpg	5	3	5808					
50	Колесо R18 Липучка	11	283112		\products\tire_33.jpg	3	4	3362					
51	Колесо R19 Лето	12	349418		\products\tire_48.jpg	1	4	6393					
52	Колесо R19 Липучка	12	387609		\products\tire_9.jpg	1	4	3445					
53	Колесо R20 Зима	12	376388			3	4	9439					
54	Колесо R20 Кованый	12	250714		\products\tire_11.jpg	5	5	8762					
55	Колесо R20 Лето	12	249737			5	5	7509					
57	Шина R14 Кованый	12	444280		\products\tire_44.jpg	4	6	13168					
60	Шина R14 Липучка	12	332858		\products\tire_12.jpg	3	7	14804					
69	Шина R15 Зима	12	331598		\products\tire_17.jpg	4	1	13879					
71	Шина R15 Кованый	12	330937		\products\tire_45.jpg	3	1	10928					
72	Шина R15 Липучка	12	263261			4	1	14521					
73	Шина R16 Зима	12	241659		\products\tire_15.jpg	4	10	11509					
76	Шина R16 Лето	12	299692		\products\tire_58.jpg	3	10	11463					
77	Шина R17 Кованый	12	274665		\products\tire_63.jpg	2	10	13101					
78	Шина R17 Липучка	12	425463			4	10	11625					
79	Шина R18 Зима	12	335030			4	10	4870					
80	Шина R18 Кованый	12	251241			3	10	3874					
83	Шина R18 Лето	12	268886			3	2	13471					
84	Шина R18 Липучка	12	453650		\products\tire_22.jpg	5	3	11459					
86	Шина R19 Зима	12	317858		\products\tire_52.jpg	5	3	8435					
89	Шина R19 Лето	12	440973		\products\tire_5.jpg	4	4	8439					
91	Шина R20 Кованый	12	274477		\products\tire_34.jpg	5	5	9527					
92	Шина R20 Липучка	12	406784		\products\tire_37.jpg	3	5	14692					
93	Шина R21 Лето	12	308647		\products\tire_26.jpg	4	6	12830					
95	Шина R21 Липучка	12	429265			3	6	11838					
97	Шина R22 Зима	12	390434		\products\tire_46.jpg	5	8	14258					
98	Шина R22 Лето	12	444141			2	8	2741					
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL					
